effort,size
9,1900
5.9,1980
7.3,2140
8,2500
73,3000
40,3700
61,3900
43,4000
20,4400
6,5300
14,5300
8,6200
18,6300
57,6700
8,6900
41,8200
38,9100
88,9400
122,10000
15,10000
55,12000
98,13000
82,13000
12,15000
237,15000
33,16000
321,18000
45,19500
218,20000
70,21000
1075,22000
230,22000
36,23000
79,24000
176,24000
130,25000
958,27000
83,28000
50,28000
423,30000
87,30000
106,32000
47,34000
201,37000
523,38000
605,40000
240,46000
387,48000
1063,50000
126,57000
539,75000
453,90000
156,91000
724,109000
2040,113000
243,132000
1600,249000
2455,252000
702,261000
6400,287000
1272,311000
11400,320000
6600,966000
